Restaurant,Dish name,Protein,Carbs,Fat,Fibre,Price,Work Provided,Estimated,Notes
Coco Di Mama,Grand Chicken Pesto,70,106,62,6,8.05,1,0,
Coco Di Mama,Midi Chicken Pesto,35,62,32,4,6.1,1,0,
Coco Di Mama,Midi Low and Slow Beef,20,67,13,5,6.4,1,0,
Olive & Squash,Summer Caeser,15,64,12,10,8.5,1,1,
K10,Tuna Avocado Poke,29.5,60.9,50.5,0.6,10.59,1,0,
K10,Salmon Poke,26.1,62,64.4,0.8,9.39,1,0,
K10,Yuzu Chicken Poke,28.2,70.1,49.2,3.2,8.39,1,0,
K10,Salmon and Tuna box,22.8,48.5,10.8,0.3,8.99,1,0,
K10,Assorted box,17.3,49.4,12,0.2,8.49,1,0,
K10,Mini Kaiso Seaweek Salad,4.7,21.9,3.8,7.2,2.95,1,0,
K10,Edamame,16.2,11.9,10.4,6.2,2.95,1,0,
Atis,Seiz'a Caesar,7,14,14,5,9,1,0,
Atis,Keep it lean,12,9,19,7,9.4,1,0,
Atis,buffalo chicken pot,71,6,6,1,9.7,1,0,
Atis,rotisserie chicken pot,69,6,6,2,9.9,1,0,
Atis,blackened chicken pot,51,0,22,0,9.9,1,0,
Atcha,No butter chicken,35.3,79.2,15.1,4,8.95,1,1,
Kitchn,Baked Spicy Chicken Wings,27.2,58.5,5.8,2,5.5,1,0,
Kitchn,Padron Peppers,1.2,3.8,0.1,2,5,1,0,
Kitchn,Smoked Jerk Chicken with Tabbouleh Salad,63.1,13.2,2.8,2,11.5,1,0,
Kitchn,Tea Smoked Salmon Buddha Bowl,40.5,54.8,7.9,7,11,1,0,
Optimum Nutrition,Protien Shake,24,3,1,0,0,0,0,
Arla,Yogurt,20,12.6,0.4,0,0,0,0,
Coco Di Mama,vegan banana bread,6.8,68.6,21.3,2.6,2.95,1,0,
Coco Di Mama,Mini Biscoff Bombo,1.7,10.8,6.3,0,1,1,0,
Atis,Soffle's Pitta Chips (60g),6.42,39.36,9.3,2.7,2.5,1,0,
Atcha,Grilled Chicken Pot,33.075,9.45,2.1,0,4.25,1,1,
Coco Di Mama,Mini Biscoff Bombo,1.7,10.8,6.3,0,1,1,0,
Wok to Walk,"Customise: whole wheat noodles, chicken, Brocolli, baby corn, coriander, hong kong sauce ",41,63.5,5.7,17.1,12.3,1,0,
Wok to Walk,"Customise: veg mix, chicken, Brocolli, baby corn, coriander, hong kong sauce ",38.8,31.3,5.6,21.7,12.3,1,0,
Wok to Walk,"Customise: whole wheat noodles, beef, peppers, baby corn, coriander, hong kong sauce ",40.5,62.1,8.9,15.3,11.84,1,0,
Wok to Walk,"Customise: veg mix, beef, peppers, baby corn, coriander, hong kong sauce ",38.4,29.9,8.8,19.9,11.84,1,0,
Urban Greens,Urban Caeser (with dressing),20,93.5,21.1,8,10.85,1,1,
Urban Greens,Urban Caeser (without dressing),20,66,15.8,8,10.85,1,1,
Urban Greens,Seoul Chicken (without dressing),20,49.2,9.4,8,9.85,1,1,
Urban Greens,Seoul Chicken (with dressing),20,68.6,13.1,8,9.85,1,1,
Urban Greens,Beef saigon (without dressing),28,55.5,10.6,10,10.85,1,1,
Urban Greens,Beef saigon (with dressing),28,79,15.1,10,10.85,1,1,
Urban Greens,Edamame snack pot,16.2,11.9,10.4,6.2,3,1,1,
Carbon,Green salad,0.5,10,3,3,3.75,1,1,
Carbon,Chicken Taouk wrap,45,42,36,7,7.95,1,1,correct for 300g of wrap (worth weighing)
Carbon,American,15,65,10,6,10.95,1,1,correct for 500g of burger (worth weighing)
Carbon,Lebanese,36,24,48,6,10.5,1,1,correct for 300g of box (weigh)
Carbon,Turkish,28,40,20,6,10.5,1,1,correct for 400g of box (weigh)
Atcha,Grilled Chicken Box,56.7,93.3,17.8,6.7,9.75,1,1,
Kathy,Hot chocolate,9,27,6,0.5,0,1,1,
Eat Activ,Shoots and Leaves,5.7,18.1,18,8.1,7.5,1,0,
Eat Activ,Cultured Lemon & Thyme Chicken Fillet,42.8,19.9,33.3,2.6,9.5,1,0,
Eat Activ,Thyme & Lemon Chicken Wrap,50.1,38.9,33.2,5.3,6.95,1,0,
Eat Activ,Braised Lamb Shoulder,54.7,73.7,22.1,20.8,11.5,1,0,
Eat Activ,Bavette Steak,47,58.8,18.5,7.3,12.95,1,0,
Eat Activ,Harrissa Roast Potatoes,5,40,54.7,5.9,4.5,1,0,
Kathy,Pain Au Chocolate,6.4,32.3,18.2,1.8,0,1,1,
G-Research,Fruit Pot,0.5,13,0,2,0,1,1,
